MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE;FORMAT FRANCE SERVICES
409;67;Durrenbach;1 Rue de l'Obermatt;;67110;67360;DURRENBACH;48.9976;7.749898;franceservices@sauer-pechelbronn.fr;03 88 90 77 60;;;14:00 - 18:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
410;67;Truchtersheim;32 Rue des Romains;;67495;67370;TRUCHTERSHEIM;48.66459;7.606664;letrefle@kochersberg.fr;03 88 69 60 30;;;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 19:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;8:30 - 11:30;;Espace labellisé
411;67;Saverne;3 Rue du Tribunal;;67437;67700;SAVERNE;48.7491;7.363901;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
412;68;Altkirch;5 Rue Charles de Gaulle;;68004;68130;ALTKIRCH;47.62254;7.235773;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
413;70;Lavoncourt;12 Rue du Tire Sachot;;70299;70120;LAVONCOURT;47.62602;5.785213;aurelie.cias@orange.fr;03 84 76 58 44;Collectivité;CIAS;13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;13:30 - 16:30;8:30 - 12:00;13:00 - 18:00;-;;Espace labellisé
414;70;Rioz;Place du Souvenir Français;;70447;70190;RIOZ;47.42191;6.068824;accueil@paysdes7rivieres.org;03 84 91 90 37;Association;Association du Pays des 7 rivières;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
415;70;Quers;1 bis Rue de l'Eglise;;70432;70200;QUERS;47.73518;6.424572;;03 84 94 78 95;Collectivité;Communauté de communes du Triangle Vert;9:00 - 12:00 / 14:00 - 18:30;8:30 - 12:00 / 14:00 - 18:30;16:30 - 18:30;8:30 - 12:00 / 14:00 - 18:30;9:00 - 12:00 / 14:00 - 18:30;8:30 - 12:00 ;;Espace labellisé
416;70;Champagney;Place du General Charles de Gaulle;;70120;70290;CHAMPAGNEY;47.70482;6.685221;franceservices.rahinetcherimont@gmail.com;03 84 36 51 59;Collectivité;Communauté de communes de Rahin et Cherimont;9:00 - 17:00;9:00 - 17:00;9:00 - 16:00;9:00 - 12:00;9:00 - 16:00;-;;Espace labellisé
417;70;Haute Comté;57 Rue des Ballastiéres;;70171;70320;CORBENAY;47.88522;6.29228;msappij@cchc.fr;03 84 49 76 25;Collectivité;Communauté de communes de la Haute Comté;8:30 - 12:00 / 13:30 - 16:30;Sur RDV : 9:00 - 12:00 // 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;10:00 - 12:00 / Sur RDV : 14:00 - 17:00;8:30 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
419;71;PIMMS de Chauffailles;Place de la Gare;;71120;71170;CHAUFFAILLES;46.20764;4.344631;pimmscantondechauffailles@pimms.org;03 85 24 29 50;PIMMS;Union Nationale des PIMMS;6:00 - 11:45 / 13:00 - 17:00;7:30 - 11:45 / 13:00 - 17:00;7:30 - 15:00;7:30 - 11:45 / 13:00 - 17:00;7:30 - 11:45 / 13:00 - 17:00;-;;Espace labellisé
420;71;PIMMS Val de Joux;Place de la Poste;;71394;71220;ST BONNET DE JOUX;46.4814;4.438974;pimmsvaldejoux@pimms.org;03 85 70 93 26;PIMMS;Union Nationale des PIMMS;8:45 - 11:45 / 13:30 - 16:30;8:45 - 11:45 / 13:30 - 16:30;8:45 - 11:45 / 13:30 - 16:30;8:45 - 11:45 / 13:30 - 16:30;8:45 - 16:00;10:00 - 12:00;;Espace labellisé
421;71;Sennecey-le-Grand;32 Rue des Muriers;;71512;71240;SENNECEY LE GRAND;46.64458;4.861923;msap.sennecey@cc-saonegrosne.fr;03 85 44 99 28;;;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
422;71;PIMMS de Melay;Le bourg;;71291;71340;MELAY;46.20683;3.97289;melay@pimms.org;03 85 26 42 71;PIMMS;Union Nationale des PIMMS;8:30 - 12:00;8:30 - 12:00;8:30 - 12:00;8:30 - 12:00;8:30 - 16:00;9:00 - 12:00;;Espace labellisé
423;71;Verdun-sur-le-Doubs;16 Rue de la République;;71566;71350;VERDUN SUR LE DOUBS;46.8957;5.024282;ccsaonedoubsbresse@orange.fr;03 85 91 66 16;Collectivité;Communauté de communes Saône Doubs Bresse;8:45 - 12:15 / 13:30 - 17:00;8:45 - 12:15 / 13:30 - 17:00;8:45 - 12:15 / 13:30 - 17:00;8:45 - 12:15 / 13:30 - 17:00;8:45 - 12:15 / 13:30 - 17:00;-;;Espace labellisé
424;72;CC Haute Sarthe Alpes mancelles;2 Rue Abbé Lelièvre;;72138;72130;FRESNAY SUR SARTHE;48.28446;0.023315;;;Collectivité;Communauté de communes;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:00 / 14:00 - 18:30;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:30;-;;Espace labellisé
425;72;Brûlon;1, place Albert Liébault;;72050;72350;BRULON;47.96705;-0.23348;msap.brulon@orange.fr;02 43 95 51 78;Collectivité;Commune;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30;-;;Espace labellisé
426;72;CC Sud Sarthe;28 place Neuve;;72176;72800;LE LUDE;47.64526;0.156936;msap@comcomsudsarthe.fr;;Collectivité;Communauté de communes;9:00 - 12:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30;-;;Espace labellisé
427;73;Valgelon La Rochette;Allée des grillons;;73215;73110;LA ROCHETTE;45.46353;6.119628;msap.larochette@cc.coeurdesavoie.fr;04 79 65 36 02;Collectivité;Communauté de commune cœur de Savoie;14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:30 ;9:00 - 12:30 / 14:00 - 17:30 ;9:00 - 12:30 / 14:00 - 17:30 ;9:00 - 12:30 / 14:00 - 17:30 ;-;;Espace labellisé
428;73;St Michel de Maurienne;25 bis rue du Général Ferrié;;73261;73140;ST MICHEL DE MAURIENNE;45.21663;6.473134;;;Association;Centre social Mosaïcaa;8:00 - 12:30 / 14:00 - 17:30;14:00 - 18:00;9:00 - 13:00 / 14:00 - 17:30;14:00 - 17:30;9:00 - 13:00;-;;Espace labellisé
429;73;Yenne;8 place du kiosque;;73330;73170;YENNE;45.70223;5.756873;franceservices@ccyenne.fr;04 79 36 54 70;Collectivité;Communauté de commune de Yenne;8:30 - 12:30 / 13:30 - 17:30;13:30 - 17:30;8:30 - 12:30;13:30 - 17:30;8:30 - 12:30;-;;Espace labellisé
430;73;Entrelacs;60 rue Joseph Michaud Albens;;73010;73410;ENTRELACS;45.78544;5.946042;relais.albanais@grand-lac.fr;04 79 63 89 45;Collectivité;Communauté d'agglomération Grand Lac;8:00 - 16:45;8:30 - 12:30;8:30 - 12:30;8:00 - 16:45;8:30 - 12:30;-;;Espace labellisé
431;74;Haut-Chablais;44 route de Morzine ;;74188;74110;MONTRIOND;46.19677;6.694353;franceservices@hautchablais.fr;04 50 80 48 05;Collectivité;Com com du Haut-Chablais;8:30 - 12:30 / 14:00 - 16:30;8:30 - 12:30 / 14:00 - 16:30;8:30 - 12:30 / 14:00 - 16:30;8:30 - 12:30 / 14:00 - 16:30;8:30 - 12:30;-;;Espace labellisé
432;74;Faucigny Glières;100 rue Paul Verlaine;;74042;74130;BONNEVILLE;46.07456;6.49192;fs.bonneville@faucignymontblanc.com;04 50 97 29 50;Association;Faucigny Mont Blanc Développement;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 16:00;-;;Espace labellisé
433;74;Gaillard;159 rue de genève;;74133;74240;GAILLARD;46.19204;6.206854;alm@gaillard.fr;04 50 92 06 74;Collectivité;CCAS de Gaillard;8:30 - 12:00 / Sur RDV : 13:30 - 17:00;8:30 - 12:00 / Sur RDV : 13:30 - 17:00;Sur RDV : 13:30 - 17:00;8:30 - 12:00 / Sur RDV : 13:30 - 17:00;8:30 - 12:00;-;;Espace labellisé
434;74;Pays du Mont Blanc;109 rue Justin;;74256;74700;SALLANCHES;;;fs.sallanches@faucignymontblanc.com;04 50 18 31 39;Association;Faucigny Mont Blanc Développement;13:30 - 17:00;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
435;75;PIMMS Paris Sud-Est;181 avenue Daumesnil;;75112;75012;PARIS;48.84049;2.392507;paris-sud-est@pimms.org;01 44 67 27 00;PIMMS;Union Nationale des PIMMS;14:00 - 18:00;10:00 - 13:00 / 14:00 - 18:00;10:00 - 13:00 / 14:00 - 18:00;10:00 - 13:00 / 14:00 - 18:00;10:00 - 13:00 / 14:00 - 17:00 ;-;;Espace labellisé
436;75;PIMMS Paris Sud;22 rue de la Saïda;;75115;75015;PARIS;48.83183;2.295756;paris-sud@pimms.org;01 45 31 65 80;PIMMS;Union Nationale des PIMMS;14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:00 ;-;;Espace labellisé
437;75;PIMMS Paris Nord-Est;3 bis rue Jacques Kablé;;75118;75018;PARIS;48.88612;2.362548;paris-nord-est@pimms.org;01 40 38 64 65;PIMMS;Union Nationale des PIMMS;14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:00 ;-;;Espace labellisé
438;75;PIMMS Paris Est;18 rue Ramus;;75120;75020;PARIS;48.86229;2.399418;paris-est@pimms.org;01 44 64 00 62;PIMMS;Union Nationale des PIMMS;14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:30 ;9:30 - 13:00 / 14:00 - 17:00 ;-;;Espace labellisé
442;76;Poste de Gournay;Place d'Armes ;;76312;76220;GOURNAY;49.48318;1.722545;;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;;Espace labellisé
443;76;Relais accueil des gens du voyage de l’agglomération rouennaise;4 chemin de Halage;;76681;76300;SOTTEVILLE LES ROUEN;49.4247;1.107833;centresocial@ragv.fr;02 35 63 86 24;Association;"Centre social associatif Relais d’Accueil des Gens du Voyage";9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30;9:00 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
444;76;Blangy / Bresle;18 rue du Brianchon;;76101;76340;BLANGY SUR BRESLE;49.92628;1.62991;;;Association;ASSOCIATION CARAVELLES;9:15 - 12:30 / 13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;13:30 - 17:00;-;Oui;Espace labellisé
445;76;Oissel sur Seine;rue de la Liberté;;76484;76350;OISSEL;49.35997;1.97003;virginie.lelieur@ville-oissel.fr;02 35 23 87 87;Collectivité;Mairie de Oissel - CCAS;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00;-;;Espace labellisé
446;76;Espace Public du Littoral;Place de la gare;;76655;76460;ST VALERY EN CAUX;49.86234;0.712859;espace.public@cote-albatre.com;02 35 57 92 00;Collectivité;Communauté de communes de la Côte d’Albâtre;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
447;76;Caux Seine agglo;5 avenue de la Sainte Gertrude;;76164;76490;RIVES EN SEINE;49.52805;0.722813;;02 32 70 43 80;Collectivité;Communauté d’Agglomération Caux Seine Agglo;13:30 - 18:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;-;;Espace labellisé
448;76;Plateau de Caux de Doudeville;2 place du Général de Gaulle;;76219;76560;DOUDEVILLE;49.72166;0.785037;sandrine.becasse@plateaudecaux.fr;02 35 95 07 25;Collectivité;"Communauté de communes Plateau de Caux - Doudeville - Yerville";9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
449;76;Espaces numériques mobiles de Normandie - Le Havre;22, avenue du Général Archinar;;76351;76600;LE HAVRE;49.4917;0.116875;;;Association;Association FODENO;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;-;Oui;Espace labellisé
450;76;Falaises du Talou;46 rue du Général de Gaulle;;76235;76630;ENVERMEU;49.8939;1.2682;msap@falaisesdutalou.fr;;Collectivité;Communauté de communes Falaises du Talou;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;-;;Espace labellisé
451;76;Centre social Caravelles;24 rue de l'audience;;76070;76680;BELLENCOMBRE;49.78359;1.224883;accueil.caravelles@orange.fr;02 35 93 26 78;Association;Centre social Caravelles;9:15 - 12:30 / 13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;13:30 - 17:00;-;Oui;Espace labellisé
452;76;Centre social Agiès;1 bis avenue Jacques eberhard;;76305;76700;GONFREVILLE L'ORCHER;49.50431;0.233692;centresocialagies@gmail.com;;Association;AGIES Centre Social;13:30 - 17:30;8:30 - 17:30;8:30 - 12:00;8:30 - 17:30;13:30 - 16:30;-;;Espace labellisé
453;76;Espace Delahaye;Route de Tôtes;;76752;76760;YERVILLE;49.66936;0.900253;espace-delahaye@wanadoo.fr;02 32 70 49 50;Collectivité;Mairie de Yerville;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;-;;Espace labellisé
454;77;PIMMS de Melun ;16 Rue Saint Liesne;;77288;77000;MELUN;48.53975;2.665337;melun@pimms.org;;PIMMS;Union Nationale des PIMMS;14:00 - 17:30;9:30 - 13:00 / 14:00 - 17:30;9:30 - 13:00 / 14:00 - 17:30;9:30 - 13:00 / 14:00 - 17:30;9:30 - 13:00 / 14:00 - 17:00;-;;Espace labellisé
455;77;Plaines et Monts de France;6 Rue du Général de Gaulle;;77153;77230;DAMMARTIN-EN-GOËLE;49.05394;2.674489;;;Collectivité;Communauté de communes de Plaines-et-Monts-de-France;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 16:30;-;Oui;Espace labellisé
456;77;Nangis Lude;95 Rue Maurice Wanlin;;77191;77370;FONTENAILLES;48.55527;2.953584;accueil@nangislude.fr;09 53 87 99 05;Association;Centre social Nangis Lude;14:00 - 18:00;14:00 - 17:00;9:30 - 11:30 / 14:00 - 18:00;10:00 - 13:00 / 14:00 - 18:00;14:00 - 18:00;-;;Espace labellisé
457;78;PIMMS Yvelines;11 rue Henri Dunant;;78440;78130;LES MUREAUX;48.99387;1.913007;yvelines@pimms.org;01 75 83 80 42;PIMMS;Union Nationale des PIMMS;13:00 - 20:00;9:00 - 14:00 / Sur RDV : 15:00 - 17:30;9:00 - 14:00;9:00 - 14:00 / Sur RDV : 15:00 - 17:30;Sur RDV : 13:30 - 17:00;Ateliers libres et RDV : 9:30 - 12:30;;Espace labellisé
458;78;Point Services aux Particuliers;4 rue Koprivnice;;78621;78190;TRAPPES;48.77888;1.988548;franceservice.sqy@orange.fr;01 30 51 87 27;Association;;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:00;-;;Espace labellisé
459;78;Thoiry;3 place de la Fontaine;;78616;78770;THOIRY;48.86493;1.795123;fsethoiry@orange.fr;01 34 94 77 39;Collectivité;;9:30 - 12:30 / 14:00 - 18:00;10:00 - 11:30 / 14:00 - 18:00;-;10:00 - 11:30 / 14:00 - 18:00;10:00 - 12:00 / 14:00 - 19:00;9:30 - 12:00;;Espace labellisé
460;79;Niort;10ter rue Jules Siegfried;;79191;79000;NIORT;46.31563;-0.48165;mfscloubouchet@mairie-niort.fr;05 49 04 01 06;Collectivité;Commune de NIORT;8:45 - 12:30 / 13:45 - 17:30;10:00 - 12:30 / 13:45 - 17:30;8:45 - 12:30 / 13:45 - 17:30;8:45 - 12:30 / 13:45 - 17:30;8:45 - 12:30 / 13:45 - 17:30;-;;Espace labellisé
461;79;Argentonnay;4 place Léopold Bergeron;;79013;79150;ARGENTONAY;46.98474;-0.44456;france.services@argentonnay.fr;05 86 30 50 57;Collectivité;Commune d' ARGENTONNAY;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
462;79;Sauze-Vaussais;40 grand’ rue;;79307;79190;SAUZE VAUSSAIS;46.13371;0.107145;franceservices.sauze@melloisenpoitou.fr;05 49 07 75 22;Collectivité;CC Mellois en Poitou;-;9:30 - 12:30 / 14:00 - 16:30;14:00 - 16:30;9:30 - 12:30 / 13:30 - 17:00;9:30 - 12:30 / 13:30 - 17:00;9:30 - 12:30;;Espace labellisé
463;79;Saint-Maixent-l'Ecole;7 boulevard de la Trouillette;;79270;79400;SAINT-MAIXENT-L’ECOLE;46.41976;-0.29758;france-services@cc-hvs.fr;05 49 76 79 44;Collectivité;CC Haut Val de Sèvre;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 ;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
464;79;Airvault;16ter rue Emmanuel Bonnet;;79005;79600;AIRVAULT;46.8238;-0.13688;ccas@airvault.fr;05 49 64 97 04;Collectivité;Commune d'AIRVAULT;8:30 - 12:30 / 13:30 - 18:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 17:30;-;;Espace labellisé
465;79;Mauléon;8 grand ‘rue;;79079;79700;MAULEON;46.92307;-0.74859;franceservicesmauleon@orange.fr;05 49 81 20 75;Collectivité;Commune de MAULEON;9:30 - 12:30 ;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
466;80;Amiens Nord;39 avenue de la Paix;;80021;80000;AMIENS;49.91176;2.30684;msapamiensnord@amiens-metropole.com;03 22 66 10 28;Collectivité;Mairie;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
467;80;Etouvie;3 place du Pays d'Auge;Les Coursives;80021;80000;AMIENS;49.91365;2.253536;msapamiensetouvie@amiens-metropole.com;03 22 97 15 82;Collectivité;Mairie;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
468;80;Abbeville;1 rue des Aubépines;;80001;80100;ABBEVILLE;50.10796;1.855223;mfsaubepine@ca-baiedesomme.fr;09 70 20 07 80;Collectivité;Communauté d'Agglomération de la Baie de Somme;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;-;;Espace labellisé
469;80;Ham;12 rue Louis Braille;;80410;80400;HAM;49.74269;3.076041;accueil@centresocialestsomme.fr;03 22 37 00 22;Collectivité;Centre social de l’Est de la Somme;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:30 ;8:30 - 12:15 / 13:30 - 17:30 ;8:30 - 12:15 / 13:30 - 17:30 ;13:30 - 17:00 ;;Espace labellisé
470;81;Albi rive droite;24 square Bonaparte;;81004;81000;ALBI;43.94291;2.155528;msap@mairie-albi.fr;05 63 49 15 00;Collectivité;MAIRIE d'ALBI;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
471;81;Centre Tarn;2 bis Boulevard Carnot;;81222;81120;REALMONT;43.77612;2.191271;france-services@centretarn.fr;05 63 79 21 27;Collectivité;Communauté de Communes Centre Tarn;9:00 - 12:15 / 13:30 - 17:30;9:00 - 12:15 / 13:30 - 17:30;9:00 - 12:15 / 13:30 - 17:30;9:00 - 12:15 / 13:30 - 17:30;9:00 - 12:15 / 13:30 - 17:30;-;;Espace labellisé
472;81;Lautrécois-Pays d'Agout;Le Moulin;Maison du Pays;81286;81220;SERVIES;43.65937;2.025173;france-services@cclpa.fr;05 63 70 52 67;Collectivité;Communauté de Communes du Lautrécois-Pays d'Agout;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
473;81;Lacaune;8 rue Antoine Cambon;;81124;81230;LACAUNE;43.7067;2.690667;mfs@ccmlhl.fr;05 63 50 77 80;Collectivité;ccmlhl;9:00 - 16:30;9:00 - 16:30;9:00 - 16:30;9:00 - 16:30;9:00 - 13:00;-;;Espace labellisé
474;81;Alban;1 rue du sénateur Boularan;;81003;81250;ALBAN;43.88878;2.45633;accueil@ccmav.fr;05 63 79 26 70;Collectivité;CCMAV;8:30 - 12:30 / 14:00 - 17:30;8:30 - 12:30 / 14:00 - 17:30;8:30 - 12:30 / 14:00 - 17:30;8:30 - 12:30 / 14:00 - 17:30;8:30 - 12:30 / 14:00 - 17:30;-;;Espace labellisé
475;82;Lauzerte;12 Rue du Millial 82110 Lauzerte;;82094;82110;LAUZERTE;44.25507;1.13499;info-aqps@orange.fr;05 63 94 65 13;Association;Association Quercy Pays de Serre;9:00 - 12:30 / 13:30 - 17:30;9:00 - 17:30;8:30 - 12:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 17:30;-;;Espace labellisé
476;82;Lafrançaise;33 Rue Mary Lafon 82130 Lafrançaise;;82087;82130;LAFRANCAISE;44.12838;1.241033;contact@cc-payslafrancaisain.fr;05 63 65 91 90;Collectivité;Communauté de communes Coteaux et Plaines du Pays Lafrancaisain;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
477;82;Grisolles;9 rue François Faugères;;82075;82170;GRISOLLES;43.82655;1.297306;msap.grisolles@grandsud82.fr;;Collectivité;Communauté de communes Grand Sud Tarn-et-Garonne;14:00 - 18:00;9:30 - 12:30 / 14:00 - 18:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 18:00;-;-;;Espace labellisé
478;82;Saint-Nicolas-de-la-Grave;Place du Château;;82169;82210;ST NICOLAS DE LA GRAVE;44.06426;1.023416;franceservices@ville-stnicolas82.fr;05 63 04 18 71;Collectivité;Commune de Saint-Nicolas-de-la-Grave;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;9:00 - 12:00;-;;Espace labellisé
480;82;Négrepelisse;370 avenue du 8 mai 1945;;82134;82800;NEGREPELISSE;44.07487;1.516101;msap@quercyvertaveyron.fr;05 63 30 90 90;Collectivité;Communuaté de communes Quercy Vert Aveyron;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
481;83;Méounes-lès-Montrieux;12 Route de Brignoles;La Poste;83077;83136;MEOUNES LES MONTRIEUX;43.28152;5.969501;;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00;;Espace labellisé
482;83;Pays de Fayence;159, Rue de la Comtesse de Villeneuve;Quartier la Ferrage;83055;83440;FAYENCE;43.62396;6.692425;france-services@cc-paysdefayence.fr;04 94 39 09 10;Collectivité;Communauté de Communes du Pays de Fayence;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
